Station,River,Location,Easting,Northing,Area,ALTBAR,BFI,PROPWET,SAAR,QMED,Ireland
31010,Chater,Fosters Bridge,496050,303000,68.81,113,0.529,0.3,640,9.466,FALSE
31023,West Glen,Easton Wood,496550,325800,4.32,108,0.32,0.27,641,1.872,FALSE
31025,Gwash South Arm,Manton,487400,305050,23.68,147,0.306,0.3,663,9.919,FALSE
31026,Egleton Brook,Egleton,487850,307350,2.3,111,0.533,0.3,645,1.135,FALSE
32002,Willow Brook,Fotheringhay,506700,293300,94.47,88,0.374,0.25,603,5.9665,FALSE
32003,Harpers Brook,Old Mill Bridge,498350,279850,70.46,89,0.415,0.3,622,13.104,FALSE
32004,Ise Brook,Harrowden,489900,271250,194.36,108,0.542,0.29,635,14.896,FALSE
32007,Nene/Brampton,St Andrews Total,474850,261300,233.02,118,0.543,0.3,648,18.818,FALSE
32010,Nene,Wansford,508050,299600,1516.08,93,0.52,0.28,620,62.043,FALSE
32029,Flore,Experimental Catchment,465600,260450,8.31,105,0.43,0.3,624,1.94,FALSE
33005,Bedford Ouse,Thornborough Mill,473450,235350,387.67,114,0.48,0.31,655,21.8,FALSE
33007,Nar,Marham,572350,312000,147.39,58,0.804,0.26,683,3.6,FALSE
33011,Little Ouse,County Bridge Euston,589250,280200,129.35,39,0.652,0.28,596,3.908,FALSE
33012,Kym,Meagre Farm,515600,263100,138.15,61,0.309,0.24,585,16.723,FALSE
33013,Sapiston,Rectory Bridge,589550,279050,196.16,52,0.611,0.28,589,5.251,FALSE
33014,Lark,Temple,575800,272900,274.04,59,0.782,0.27,593,7.82,FALSE
33015,Ouzel,Willen,488200,240800,281.8,109,0.464,0.31,637,19.75,FALSE
33018,Tove,Cappenham Bridge,471150,248700,132.55,132,0.368,0.3,661,16.95,FALSE
33019,Thet,Melford Bridge,587950,283000,311.37,39,0.707,0.31,620,7.35,FALSE
33021,Rhee,Burnt Mill,541550,252400,308.05,49,0.713,0.24,559,7.987,FALSE
33022,Ivel,Blunham,515300,250900,539.63,73,0.646,0.27,582,22.4705,FALSE
33023,Lea Brook,Beck Bridge,566250,273250,105.95,65,0.561,0.21,579,3.17,FALSE
33027,Rhee,Wimpole,533300,248500,128.49,50,0.613,0.24,558,5.3485,FALSE
33028,Flit,Shefford,514250,239300,119.43,89,0.574,0.29,598,7.26,FALSE
